title,Title,Genre,keywords,tagline,Description,runtime,release_date,homepage,original_language,spoken_languages,production_countries,production_companies,budget,revenue,vote_count,Rating
Hall Pass,Hall Pass,Comedy,"wife husband relationship, daydream, marriage, freedom, friends","One Week, No Rules","When best buds Rick and Fred begin to show signs of restlessness at home, their wives take a bold approach to revitalize their marriages: they grant the guys a ""hall pass"", one week of freedom to do whatever they want. At first, it seems like a dream come true, but they quickly discover that their expectations of the single life - and themselves - are completely and hilariously out of sync with reality.",105,25/02/2011,http://hallpassmovie.warnerbros.com/,en,English,United States of America,"New Line Cinema, Conundrum Entertainment",36000000,83160734,611,5.4
The Insider,The Insider,"Drama, Thriller","spy, newspaper, research, interview, tobacco, insider, conspiracy theory, reporter, whistleblower, columbia broadcasting system (cbs), tobacco industry",Two men driven to tell the truth... whatever the cost.,"Tells the true story of a 60 Minutes television series exposé of the tobacco industry, as seen through the eyes of a real tobacco executive, Jeffrey Wigand",157,28/10/1999,,en,"العربية, English, 日本語, فارسی",United States of America,"Spyglass Entertainment, Forward Pass, Kaitz Productions, Mann/Roth Productions, Touchstone Pictures",90000000,60289912,481,7.3
The Finest Hours,The Finest Hours,"Action, Drama, History, Thriller","coast guard, based on true story, survival, rescue mission, storm at sea, sinking ship, 1950s, 3d","32 survivors, room for 12.",The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,114,25/01/2016,https://www.facebook.com/thefinesthoursmovie,en,English,United States of America,"Walt Disney Pictures, Whitaker Entertainment, Bergsten Music, Red Hawk Entertainment",80000000,52099090,588,6.3
Body of Lies,Body of Lies,"Action, Drama, Thriller","terror, falsely accused, based on novel, dying and death, jordan, dubai, intelligence agency, beating",Trust no one. Deceive everyone.,"The CIA’s hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agency’s man on the ground, moving from place to place, scrambling to stay ahead of ever-shifting events. An eye in the sky – a satellite link – watches Ferris.  At the other end of that real-time link is the CIA’s Ed Hoffman, strategizing events from thousands of miles away. And as Ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival.",128,10/10/2008,http://wwws.warnerbros.co.uk/bodyoflies/,en,"العربية, English","United States of America, United Kingdom","Scott Free Productions, De Line Pictures, Warner Bros.",70000000,113280098,895,6.5
Dinner for Schmucks,Dinner for Schmucks,Comedy,"mouse, idiot, mind control, taxidermy, aftercreditsstinger, duringcreditsstinger",Takes One To Know One.,"Rising executive Tim Wagner works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee.",114,30/07/2010,http://www.dinnerforschmucks.com/,en,English,United States of America,"Paramount Pictures, DreamWorks SKG, Spyglass Entertainment, Everyman Pictures, Reliance BIG Entertainment, Parkes/MacDonald Productions",69000000,86387857,531,5.5
Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,"Action, Fantasy, Horror","usa president, vampire, steam locomotive, american civil war, 19th century, abraham lincoln, 3d",Are you a patriot or a vampire?,"President Lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slave-owning helpers.",94,20/06/2012,,en,English,United States of America,"Twentieth Century Fox Film Corporation, Bazelevs Production, Tim Burton Productions, Abraham Productions, Location Gourmet",69000000,112265139,1269,5.5
Entrapment,Entrapment,"Romance, Drama, Mystery","london england, new year's eve, skyscraper, burglar, distrust, undercover, blackmail, nudity, thief, heist, older man younger woman relationship, art thief, criminal, art theft, millennium, manhattan, new york city, gala, kuala lumpur malaysia",The trap is set.,"Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.",112,29/04/1999,http://www.foxmovies.com.au/entrapment,en,English,"United Kingdom, United States of America","Fountainbridge Films, Regency Enterprises",66000000,212404396,602,6
The X Files,The X Files,"Mystery, Science Fiction, Thriller","bomb, helicopter, secret, obsession, extraterrestrial technology, fbi, space marine, mutation, secret society, secret organization, secret lab, x-files, government",Fight the Future,"Mulder and Scully, now taken off the FBI's X Files cases, must find a way to fight the shadowy elements of the government to find out the truth about a conspiracy that might mean the alien colonization of Earth.",121,19/06/1998,,en,English,"Canada, United States of America","Twentieth Century Fox Film Corporation, Ten Thirteen Productions",66000000,189198313,488,6.6
The Last Legion,The Last Legion,"Action, Adventure, Fantasy, War","roman empire, emperor, ancient rome, western roman empire, ancient world, julius caesar",The end of an empire...the beginning of a legend.,"As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.",102,19/04/2007,,en,English,"United Kingdom, Italy, France, Tunisia","Ingenious Film Partners, Quinta Communications, Dino De Laurentiis Company, Zephyr Films",67000000,25303038,207,5
Saving Private Ryan,Saving Private Ryan,"Drama, History, War","war crimes, self sacrifice, war veteran, world war ii, war ship, airplane, bravery, normandy, parachute, troops, waffen ss, omaha beach, army, cowardice, american flag, war memorial, deserted town, military, 1940s",The mission is a man.,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",169,24/07/1998,,en,"Český, Deutsch, English, Français",United States of America,"Paramount Pictures, DreamWorks SKG, Amblin Entertainment, Mutual Film Company, Mark Gordon Productions",70000000,481840909,5048,7.9
Need for Speed,Need for Speed,"Action, Crime, Drama, Thriller","street race, super cars, super speed, car, based on video game, duringcreditsstinger, 3d",For honor. For love. For redemption.,"The film revolves around a local street-racer who partners with a rich and arrogant business associate, only to find himself framed by his colleague and sent to prison. After he gets out, he joins a New York-to-Los Angeles race to get revenge. But when the ex-partner learns of the scheme, he puts a massive bounty on the racer's head, forcing him to run a cross-country gauntlet of illegal racers in all manner of supercharged vehicles.",130,13/03/2014,,en,English,"Philippines, United States of America, United Kingdom, France","DreamWorks SKG, Reliance Entertainment, Bandito Brothers, Touchstone Pictures, Electronic Arts, Revolution Sun Studios",66000000,203277636,1520,6.1
What Women Want,What Women Want,"Comedy, Romance","women, telepathy, supernatural powers, advertising executive, woman director",He has the power to hear everything women are thinking. Finally... a man is listening.,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.",127,15/12/2000,,en,"English, Français",United States of America,"Paramount Pictures, Centropolis Entertainment, Icon Entertainment International, Wind Dancer Productions",70000000,374111707,992,6.1
Ice Age,Ice Age,"Animation, Comedy, Family, Adventure","human evolution, parents kids relationship, squirrel, ice, loss of child, mammoth, sloth, dying and death, stone age, prehistoric, saber-toothed tiger, cavemen, prehistoric creature, prehistoric adventure, prehistoric times, prehistoric man",They came. They thawed. They conquered.,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",81,10/03/2002,http://www.iceagemovies.com/films/ice-age,en,English,United States of America,"Twentieth Century Fox Film Corporation, Blue Sky Studios, Twentieth Century Fox Animation",59000000,383257136,3857,7.1
Dreamcatcher,Dreamcatcher,"Drama, Horror, Science Fiction, Thriller",religion and supernatural,A circle of friendship. A web of mystery. A pattern of fear.,"Four boyhood pals perform a heroic act and are changed by the powers they gain in return. Years later, on a hunting trip in the Maine woods, they're overtaken by a vicious blizzard that harbors an ominous presence. Challenged to stop an alien force, the friends must first prevent the slaughter of innocent civilians by a military vigilante ... and then overcome a threat to the bond that unites the four of them.",136,21/03/2003,http://dreamcatchermovie.warnerbros.com/,en,English,United States of America,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Kasdan Pictures, WV Films II",68000000,75715436,567,5.3
